City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Luau,AO,73.69,overcast clouds,-10.7073,22.2247,Kimbo Hotel
350,Sol'Tsy,RU,59.77,overcast clouds,58.1239,30.3238,Otel'-Soltsy
351,Launceston,AU,55.35,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
355,Januaria,BR,84.27,overcast clouds,-15.4833,-44.3667,Hotel Paraguassu
357,Selfoss,IS,56.05,broken clouds,63.9331,-20.9971,Ljósafossskóli - Hostel
358,Quthing,LS,56.53,clear sky,-30.4,27.7003,Mountainside Hotel
359,Stung Treng,KH,73.81,moderate rain,13.5259,105.9683,សណ្ឋាគារ​ទន្លេ​មាស
360,Kiama,AU,55.45,overcast clouds,-34.6833,150.8667,The Sebel Kiama
362,Sotkamo,FI,55.42,clear sky,64.1333,28.4167,Hotel Tulikettu
363,El Nido,PH,81.23,moderate rain,11.1858,119.3956,Stunning Republic Beach Resort
364,Ust'-Ilimsk,RU,62.78,clear sky,58.0006,102.6619,AleNat Center
365,Muli,MV,82.78,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
366,Freetown,SL,80.31,light rain,8.484,-13.2299,The Country Lodge Hotel
367,Daru,PG,74.35,scattered clouds,-9.0763,143.2092,Daru Lodge
370,Tokmok,KG,67.42,clear sky,42.8417,75.3016,Jibek Hotel
371,Uzgen,KG,61.09,clear sky,40.7699,73.3007,Hotel Konurat
372,Luanda,AO,71.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda Hotel
373,Nova Vicosa,BR,77.67,light rain,-17.8919,-39.3719,Pousada Porto do Sol
374,Nemuro,JP,60.1,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
375,Knyaze-Volkonskoye,RU,62.94,overcast clouds,48.4642,135.4567,Obshchezhitiye
376,Chingirlau,KZ,57.15,overcast clouds,51.095,54.0814,Хостыл Аққу
377,Jiuquan,CN,67.03,overcast clouds,39.7432,98.5174,Jiuquan Hotel
379,Yanam,IN,79.63,few clouds,16.7333,82.2167,The Regency Hotel
381,Woolgoolga,AU,54.05,clear sky,-30.1106,153.2007,Rosebourne Gardens Motel
382,Hovd,MN,73.53,overcast clouds,48.0056,91.6419,Hotel Buyant
383,Vettweiss,DE,64.76,broken clouds,50.7333,6.6,Familie Schwecht
384,Ruovesi,FI,60.98,overcast clouds,61.9858,24.0571,Haapasaaren lomakylä
385,Yaren,NR,83.35,overcast clouds,-0.5472,166.916,Menen Hotel
388,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Sea Light
389,Mossel Bay,ZA,73.33,clear sky,-34.1831,22.146,The Point Hotel & SPA
390,Shenjiamen,CN,78.26,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
391,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,Le four à pain
392,Anaconda,US,79.79,clear sky,46.1285,-112.9423,Trade Wind Motel
393,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
394,Katsuura,JP,79.34,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
395,Flying Fish Cove,CX,74.88,overcast clouds,-10.4217,105.6791,VQ3 Lodge
397,Yardimli,AZ,60.93,overcast clouds,38.9206,48.2372,Yolocaq
398,Mar Del Plata,AR,59.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
400,Bikenibeu Village,KI,84.16,broken clouds,1.3673,173.1241,Tobaraoi
402,Kayangel,PW,82.49,overcast clouds,8.0823,134.7173,Ungilreng's Rental Home
403,Asau,RO,79.72,broken clouds,46.4333,26.4,Casa Mika Ciobanus
