City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Cabo San Lucas,MX,23-08-28 14:47:43,22.8909,-109.9124,85.51,69,2,9.86,clear sky
60,Piatykhatky,UA,23-08-28 14:49:06,48.4133,33.7106,94.53,24,18,11.25,few clouds
61,Reggane,DZ,23-08-28 14:49:06,26.7158,0.1714,111.18,14,28,11.83,scattered clouds
62,Kuala Tungkal,ID,23-08-28 14:49:07,-0.8167,103.4667,79.45,83,11,1.86,few clouds
63,Great Bend,US,23-08-28 14:49:07,38.3645,-98.7648,74.61,78,0,9.22,clear sky
64,Kingston,JM,23-08-28 14:49:07,17.997,-76.7936,91.24,74,20,10.36,few clouds
65,Saudarkrokur,IS,23-08-28 14:49:07,65.7461,-19.6394,50.74,79,100,6.26,overcast clouds
66,Georgetown,MY,23-08-28 14:47:57,5.4112,100.3354,84.15,82,20,1.14,few clouds
67,Fale Old Settlement,TK,23-08-28 14:49:08,-9.3852,-171.2468,82.67,70,84,17.02,broken clouds
68,Nova Vicosa,BR,23-08-28 14:49:08,-17.8919,-39.3719,71.33,89,100,15.21,overcast clouds
69,Port Elizabeth,ZA,23-08-28 14:48:33,-33.918,25.5701,66.49,68,0,8.05,clear sky
70,Pendleton,US,23-08-28 14:45:28,45.6721,-118.7886,84.58,64,0,0.0,clear sky
71,Puerto Baquerizo Moreno,EC,23-08-28 14:49:09,-0.9,-89.6,77.99,73,40,14.97,scattered clouds
72,Jamestown,US,23-08-28 14:46:50,42.097,-79.2353,70.02,73,100,4.61,overcast clouds
73,Hawaiian Paradise Park,US,23-08-28 14:49:10,19.5933,-154.9731,70.03,96,100,4.61,light rain
74,Coquimbo,CL,23-08-28 14:44:16,-29.9533,-71.3436,60.53,55,0,3.44,clear sky
75,Luderitz,NA,23-08-28 14:49:11,-26.6481,15.1594,78.33,27,0,6.55,clear sky
76,Ambon,ID,23-08-28 14:49:11,-3.6954,128.1814,81.88,95,73,16.44,broken clouds
77,Birjand,IR,23-08-28 14:49:11,32.8663,59.2211,88.27,13,0,13.8,clear sky
78,Jayapura,ID,23-08-28 14:49:11,-2.5333,140.7,76.39,89,89,4.92,overcast clouds
79,Puerto Natales,CL,23-08-28 14:47:28,-51.7236,-72.4875,42.26,77,40,8.05,scattered clouds
80,West Island,CC,23-08-28 14:49:12,-12.1568,96.8225,76.98,78,16,8.05,few clouds
81,Iqaluit,CA,23-08-28 14:45:54,63.7506,-68.5145,44.33,65,75,9.22,broken clouds
82,Nar'Yan-Mar,RU,23-08-28 14:49:13,67.6713,53.087,47.86,78,100,5.14,overcast clouds
83,Prince Rupert,CA,23-08-28 14:49:14,54.3161,-130.3201,58.69,98,0,3.44,clear sky
84,Schierling,DE,23-08-28 14:49:14,48.8333,12.1333,59.97,91,100,13.42,light rain
85,Grytviken,GS,23-08-28 14:49:14,-54.2811,-36.5092,28.71,60,83,3.56,broken clouds
86,Carrigaline,IE,23-08-28 14:49:15,51.8117,-8.3986,64.15,72,75,6.91,broken clouds
87,Avarua,CK,23-08-28 14:49:15,-21.2078,-159.775,69.85,68,69,8.05,broken clouds
88,Fatsa,TR,23-08-28 14:49:15,41.0278,37.5014,80.4,66,78,4.32,broken clouds
89,Aswan,EG,23-08-28 14:49:15,24.0934,32.907,114.1,10,0,14.97,clear sky
90,Iowa Falls,US,23-08-28 14:49:16,42.5225,-93.2513,72.81,68,0,4.61,clear sky
91,Invercargill,NZ,23-08-28 14:47:46,-46.4,168.35,49.01,97,100,11.99,overcast clouds
92,Sitka,US,23-08-28 14:49:16,57.0531,-135.33,57.09,88,20,0.0,few clouds
93,Itoman,JP,23-08-28 14:49:17,26.1247,127.6694,84.58,84,75,6.91,broken clouds
94,Khanbari,NP,23-08-28 14:49:17,27.3747,87.2039,72.41,93,100,0.94,overcast clouds
95,Horta,PT,23-08-28 14:49:17,38.5333,-28.6333,74.01,88,75,16.11,light rain
96,Olonkinbyen,SJ,23-08-28 14:49:17,70.9221,-8.7187,42.21,90,86,9.75,overcast clouds
97,Ushuaia,AR,23-08-28 14:50:18,-54.8,-68.3,38.86,87,75,4.61,broken clouds
98,Dogondoutchi,NE,23-08-28 14:50:18,13.6393,4.0287,92.55,41,100,7.67,overcast clouds
99,Guiuan,PH,23-08-28 14:50:18,11.0333,125.7247,83.86,79,92,15.46,overcast clouds
100,Udachny,RU,23-08-28 14:50:18,66.4167,112.4,57.45,93,98,3.4,overcast clouds
101,Novyy Urgal,RU,23-08-28 14:50:19,51.0736,132.5642,51.91,89,0,0.27,clear sky
102,Hermanus,ZA,23-08-28 14:50:19,-34.4187,19.2345,78.8,60,0,6.85,clear sky
103,Katsuura,JP,23-08-28 14:50:19,35.1333,140.3,79.79,91,80,13.42,broken clouds
104,Margaret River,AU,23-08-28 14:50:20,-33.95,115.0667,54.25,79,72,9.84,broken clouds
105,Ilulissat,GL,23-08-28 14:50:20,69.2167,-51.1,44.62,81,75,8.05,broken clouds
106,Papatowai,NZ,23-08-28 14:50:20,-46.5619,169.4708,47.46,90,100,12.73,overcast clouds
107,Bridgewater,CA,23-08-28 14:50:20,44.3835,-64.5155,73.11,69,0,3.0,clear sky
108,College,US,23-08-28 14:50:21,64.8569,-147.8028,48.18,94,75,0.0,broken clouds
109,Hithadhoo,MV,23-08-28 14:50:21,-0.6,73.0833,82.27,78,33,11.83,scattered clouds
110,Dunedin,NZ,23-08-28 14:50:21,-45.8742,170.5036,51.8,56,97,11.01,overcast clouds
111,Rio Preto Da Eva,BR,23-08-28 14:50:22,-2.6994,-59.6997,100.35,25,0,5.97,clear sky
112,Yellowknife,CA,23-08-28 14:50:22,62.456,-114.3525,55.42,97,75,5.75,smoke
113,Hamilton,US,23-08-28 14:48:00,39.1834,-84.5333,74.98,69,0,9.22,clear sky
114,Baiyin,CN,23-08-28 14:50:23,36.5583,104.2081,68.23,44,5,16.53,clear sky
115,East London,ZA,23-08-28 14:50:23,-33.0153,27.9116,70.74,60,0,9.22,clear sky
116,Kodiak,US,23-08-28 14:50:24,57.79,-152.4072,53.11,94,100,5.75,light rain
117,Taoudenni,ML,23-08-28 14:50:24,22.6783,-3.9836,108.86,20,54,11.1,broken clouds
118,Nowshahr,IR,23-08-28 14:50:24,36.649,51.496,84.15,58,20,9.22,few clouds
119,Saldanha,ZA,23-08-28 14:50:25,-33.0117,17.9442,87.85,45,0,3.2,clear sky
